codepoints,emoji-name,keywords
👶🏻,baby | young | light skin tone,baby: light skin tone
👶🏼,baby | young | medium-light skin tone,baby: medium-light skin tone
👶🏽,baby | young | medium skin tone,baby: medium skin tone
👶🏾,baby | young | medium-dark skin tone,baby: medium-dark skin tone
👶🏿,baby | young | dark skin tone,baby: dark skin tone
🧒🏻,child | gender-neutral | young | light skin tone,child: light skin tone
🧒🏼,child | gender-neutral | young | medium-light skin tone,child: medium-light skin tone
🧒🏽,child | gender-neutral | young | medium skin tone,child: medium skin tone
🧒🏾,child | gender-neutral | young | medium-dark skin tone,child: medium-dark skin tone
🧒🏿,child | gender-neutral | young | dark skin tone,child: dark skin tone
👦🏻,boy | young | light skin tone,boy: light skin tone
👦🏼,boy | young | medium-light skin tone,boy: medium-light skin tone
👦🏽,boy | young | medium skin tone,boy: medium skin tone
👦🏾,boy | young | medium-dark skin tone,boy: medium-dark skin tone
👦🏿,boy | young | dark skin tone,boy: dark skin tone
👧🏻,Virgo | girl | young | zodiac | light skin tone,girl: light skin tone
👧🏼,Virgo | girl | young | zodiac | medium-light skin tone,girl: medium-light skin tone
👧🏽,Virgo | girl | young | zodiac | medium skin tone,girl: medium skin tone
👧🏾,Virgo | girl | young | zodiac | medium-dark skin tone,girl: medium-dark skin tone
👧🏿,Virgo | girl | young | zodiac | dark skin tone,girl: dark skin tone
🧑🏻,adult | gender-neutral | light skin tone,adult: light skin tone
🧑🏼,adult | gender-neutral | medium-light skin tone,adult: medium-light skin tone
🧑🏽,adult | gender-neutral | medium skin tone,adult: medium skin tone
🧑🏾,adult | gender-neutral | medium-dark skin tone,adult: medium-dark skin tone
🧑🏿,adult | gender-neutral | dark skin tone,adult: dark skin tone
👨🏻,man | light skin tone,man: light skin tone
👨🏼,man | medium-light skin tone,man: medium-light skin tone
👨🏽,man | medium skin tone,man: medium skin tone
👨🏾,man | medium-dark skin tone,man: medium-dark skin tone
👨🏿,man | dark skin tone,man: dark skin tone
👩🏻,woman | light skin tone,woman: light skin tone
👩🏼,woman | medium-light skin tone,woman: medium-light skin tone
👩🏽,woman | medium skin tone,woman: medium skin tone
👩🏾,woman | medium-dark skin tone,woman: medium-dark skin tone
👩🏿,woman | dark skin tone,woman: dark skin tone
🧓🏻,gender-neutral | old | older adult | light skin tone,older adult: light skin tone
🧓🏼,gender-neutral | old | older adult | medium-light skin tone,older adult: medium-light skin tone
🧓🏽,gender-neutral | old | older adult | medium skin tone,older adult: medium skin tone
🧓🏾,gender-neutral | old | older adult | medium-dark skin tone,older adult: medium-dark skin tone
🧓🏿,gender-neutral | old | older adult | dark skin tone,older adult: dark skin tone
👴🏻,man | old | light skin tone,old man: light skin tone
👴🏼,man | old | medium-light skin tone,old man: medium-light skin tone
👴🏽,man | old | medium skin tone,old man: medium skin tone
👴🏾,man | old | medium-dark skin tone,old man: medium-dark skin tone
👴🏿,man | old | dark skin tone,old man: dark skin tone
👵🏻,old | woman | light skin tone,old woman: light skin tone
👵🏼,old | woman | medium-light skin tone,old woman: medium-light skin tone
👵🏽,old | woman | medium skin tone,old woman: medium skin tone
👵🏾,old | woman | medium-dark skin tone,old woman: medium-dark skin tone
👵🏿,old | woman | dark skin tone,old woman: dark skin tone
👨🏻‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | light skin tone,man health worker: light skin tone
👨🏼‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | medium-light skin tone,man health worker: medium-light skin tone
👨🏽‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | medium skin tone,man health worker: medium skin tone
👨🏾‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | medium-dark skin tone,man health worker: medium-dark skin tone
👨🏿‍⚕,doctor | healthcare | man | man health worker | nurse | therapist | dark skin tone,man health worker: dark skin tone
👩🏻‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | light skin tone,woman health worker: light skin tone
👩🏼‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | medium-light skin tone,woman health worker: medium-light skin tone
👩🏽‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | medium skin tone,woman health worker: medium skin tone
👩🏾‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | medium-dark skin tone,woman health worker: medium-dark skin tone
👩🏿‍⚕,doctor | healthcare | nurse | therapist | woman | woman health worker | dark skin tone,woman health worker: dark skin tone
👨🏻‍🎓,graduate | man | student | light skin tone,man student: light skin tone
👨🏼‍🎓,graduate | man | student | medium-light skin tone,man student: medium-light skin tone
👨🏽‍🎓,graduate | man | student | medium skin tone,man student: medium skin tone
👨🏾‍🎓,graduate | man | student | medium-dark skin tone,man student: medium-dark skin tone
👨🏿‍🎓,graduate | man | student | dark skin tone,man student: dark skin tone
👩🏻‍🎓,graduate | student | woman | light skin tone,woman student: light skin tone
👩🏼‍🎓,graduate | student | woman | medium-light skin tone,woman student: medium-light skin tone
👩🏽‍🎓,graduate | student | woman | medium skin tone,woman student: medium skin tone
👩🏾‍🎓,graduate | student | woman | medium-dark skin tone,woman student: medium-dark skin tone
👩🏿‍🎓,graduate | student | woman | dark skin tone,woman student: dark skin tone
👨🏻‍🏫,instructor | man | professor | teacher | light skin tone,man teacher: light skin tone
👨🏼‍🏫,instructor | man | professor | teacher | medium-light skin tone,man teacher: medium-light skin tone
👨🏽‍🏫,instructor | man | professor | teacher | medium skin tone,man teacher: medium skin tone
👨🏾‍🏫,instructor | man | professor | teacher | medium-dark skin tone,man teacher: medium-dark skin tone
👨🏿‍🏫,instructor | man | professor | teacher | dark skin tone,man teacher: dark skin tone
👩🏻‍🏫,instructor | professor | teacher | woman | light skin tone,woman teacher: light skin tone
👩🏼‍🏫,instructor | professor | teacher | woman | medium-light skin tone,woman teacher: medium-light skin tone
👩🏽‍🏫,instructor | professor | teacher | woman | medium skin tone,woman teacher: medium skin tone
👩🏾‍🏫,instructor | professor | teacher | woman | medium-dark skin tone,woman teacher: medium-dark skin tone
👩🏿‍🏫,instructor | professor | teacher | woman | dark skin tone,woman teacher: dark skin tone
👨🏻‍⚖,justice | man | man judge | scales | light skin tone,man judge: light skin tone
👨🏼‍⚖,justice | man | man judge | scales | medium-light skin tone,man judge: medium-light skin tone
👨🏽‍⚖,justice | man | man judge | scales | medium skin tone,man judge: medium skin tone
👨🏾‍⚖,justice | man | man judge | scales | medium-dark skin tone,man judge: medium-dark skin tone
👨🏿‍⚖,justice | man | man judge | scales | dark skin tone,man judge: dark skin tone
👩🏻‍⚖,judge | scales | woman | light skin tone,woman judge: light skin tone
👩🏼‍⚖,judge | scales | woman | medium-light skin tone,woman judge: medium-light skin tone
👩🏽‍⚖,judge | scales | woman | medium skin tone,woman judge: medium skin tone
👩🏾‍⚖,judge | scales | woman | medium-dark skin tone,woman judge: medium-dark skin tone
👩🏿‍⚖,judge | scales | woman | dark skin tone,woman judge: dark skin tone
👨🏻‍🌾,farmer | gardener | man | rancher | light skin tone,man farmer: light skin tone
👨🏼‍🌾,farmer | gardener | man | rancher | medium-light skin tone,man farmer: medium-light skin tone
👨🏽‍🌾,farmer | gardener | man | rancher | medium skin tone,man farmer: medium skin tone
👨🏾‍🌾,farmer | gardener | man | rancher | medium-dark skin tone,man farmer: medium-dark skin tone
👨🏿‍🌾,farmer | gardener | man | rancher | dark skin tone,man farmer: dark skin tone
👩🏻‍🌾,farmer | gardener | rancher | woman | light skin tone,woman farmer: light skin tone
👩🏼‍🌾,farmer | gardener | rancher | woman | medium-light skin tone,woman farmer: medium-light skin tone
👩🏽‍🌾,farmer | gardener | rancher | woman | medium skin tone,woman farmer: medium skin tone
👩🏾‍🌾,farmer | gardener | rancher | woman | medium-dark skin tone,woman farmer: medium-dark skin tone
👩🏿‍🌾,farmer | gardener | rancher | woman | dark skin tone,woman farmer: dark skin tone
👨🏻‍🍳,chef | cook | man | light skin tone,man cook: light skin tone
👨🏼‍🍳,chef | cook | man | medium-light skin tone,man cook: medium-light skin tone
👨🏽‍🍳,chef | cook | man | medium skin tone,man cook: medium skin tone
👨🏾‍🍳,chef | cook | man | medium-dark skin tone,man cook: medium-dark skin tone
👨🏿‍🍳,chef | cook | man | dark skin tone,man cook: dark skin tone
👩🏻‍🍳,chef | cook | woman | light skin tone,woman cook: light skin tone
👩🏼‍🍳,chef | cook | woman | medium-light skin tone,woman cook: medium-light skin tone
👩🏽‍🍳,chef | cook | woman | medium skin tone,woman cook: medium skin tone
👩🏾‍🍳,chef | cook | woman | medium-dark skin tone,woman cook: medium-dark skin tone
👩🏿‍🍳,chef | cook | woman | dark skin tone,woman cook: dark skin tone
👨🏻‍🔧,electrician | man | mechanic | plumber | tradesperson | light skin tone,man mechanic: light skin tone
👨🏼‍🔧,electrician | man | mechanic | plumber | tradesperson | medium-light skin tone,man mechanic: medium-light skin tone
👨🏽‍🔧,electrician | man | mechanic | plumber | tradesperson | medium skin tone,man mechanic: medium skin tone
👨🏾‍🔧,electrician | man | mechanic | plumber | tradesperson | medium-dark skin tone,man mechanic: medium-dark skin tone
👨🏿‍🔧,electrician | man | mechanic | plumber | tradesperson | dark skin tone,man mechanic: dark skin tone
👩🏻‍🔧,electrician | mechanic | plumber | tradesperson | woman | light skin tone,woman mechanic: light skin tone
👩🏼‍🔧,electrician | mechanic | plumber | tradesperson | woman | medium-light skin tone,woman mechanic: medium-light skin tone
👩🏽‍🔧,electrician | mechanic | plumber | tradesperson | woman | medium skin tone,woman mechanic: medium skin tone
👩🏾‍🔧,electrician | mechanic | plumber | tradesperson | woman | medium-dark skin tone,woman mechanic: medium-dark skin tone
👩🏿‍🔧,electrician | mechanic | plumber | tradesperson | woman | dark skin tone,woman mechanic: dark skin tone
👨🏻‍🏭,assembly | factory | industrial | man | worker | light skin tone,man factory worker: light skin tone
👨🏼‍🏭,assembly | factory | industrial | man | worker | medium-light skin tone,man factory worker: medium-light skin tone
👨🏽‍🏭,assembly | factory | industrial | man | worker | medium skin tone,man factory worker: medium skin tone
👨🏾‍🏭,assembly | factory | industrial | man | worker | medium-dark skin tone,man factory worker: medium-dark skin tone
👨🏿‍🏭,assembly | factory | industrial | man | worker | dark skin tone,man factory worker: dark skin tone
👩🏻‍🏭,assembly | factory | industrial | woman | worker | light skin tone,woman factory worker: light skin tone
👩🏼‍🏭,assembly | factory | industrial | woman | worker | medium-light skin tone,woman factory worker: medium-light skin tone
👩🏽‍🏭,assembly | factory | industrial | woman | worker | medium skin tone,woman factory worker: medium skin tone
👩🏾‍🏭,assembly | factory | industrial | woman | worker | medium-dark skin tone,woman factory worker: medium-dark skin tone
👩🏿‍🏭,assembly | factory | industrial | woman | worker | dark skin tone,woman factory worker: dark skin tone
👨🏻‍💼,architect | business | man | man office worker | manager | office | white-collar | light skin tone,man office worker: light skin tone
👨🏼‍💼,architect | business | man | man office worker | manager | office | white-collar | medium-light skin tone,man office worker: medium-light skin tone
👨🏽‍💼,architect | business | man | man office worker | manager | office | white-collar | medium skin tone,man office worker: medium skin tone
👨🏾‍💼,architect | business | man | man office worker | manager | office | white-collar | medium-dark skin tone,man office worker: medium-dark skin tone
👨🏿‍💼,architect | business | man | man office worker | manager | office | white-collar | dark skin tone,man office worker: dark skin tone
👩🏻‍💼,architect | business | manager | office | white-collar | woman | woman office worker | light skin tone,woman office worker: light skin tone
👩🏼‍💼,architect | business | manager | office | white-collar | woman | woman office worker | medium-light skin tone,woman office worker: medium-light skin tone
👩🏽‍💼,architect | business | manager | office | white-collar | woman | woman office worker | medium skin tone,woman office worker: medium skin tone
👩🏾‍💼,architect | business | manager | office | white-collar | woman | woman office worker | medium-dark skin tone,woman office worker: medium-dark skin tone
👩🏿‍💼,architect | business | manager | office | white-collar | woman | woman office worker | dark skin tone,woman office worker: dark skin tone
👨🏻‍🔬,biologist | chemist | engineer | man | mathematician | physicist | scientist | light skin tone,man scientist: light skin tone
👨🏼‍🔬,biologist | chemist | engineer | man | mathematician | physicist | scientist | medium-light skin tone,man scientist: medium-light skin tone
👨🏽‍🔬,biologist | chemist | engineer | man | mathematician | physicist | scientist | medium skin tone,man scientist: medium skin tone
👨🏾‍🔬,biologist | chemist | engineer | man | mathematician | physicist | scientist | medium-dark skin tone,man scientist: medium-dark skin tone
👨🏿‍🔬,biologist | chemist | engineer | man | mathematician | physicist | scientist | dark skin tone,man scientist: dark skin tone
👩🏻‍🔬,biologist | chemist | engineer | mathematician | physicist | scientist | woman | light skin tone,woman scientist: light skin tone
👩🏼‍🔬,biologist | chemist | engineer | mathematician | physicist | scientist | woman | medium-light skin tone,woman scientist: medium-light skin tone
👩🏽‍🔬,biologist | chemist | engineer | mathematician | physicist | scientist | woman | medium skin tone,woman scientist: medium skin tone
👩🏾‍🔬,biologist | chemist | engineer | mathematician | physicist | scientist | woman | medium-dark skin tone,woman scientist: medium-dark skin tone
👩🏿‍🔬,biologist | chemist | engineer | mathematician | physicist | scientist | woman | dark skin tone,woman scientist: dark skin tone
👨🏻‍💻,coder | developer | inventor | man | software | technologist | light skin tone,man technologist: light skin tone
👨🏼‍💻,coder | developer | inventor | man | software | technologist | medium-light skin tone,man technologist: medium-light skin tone
👨🏽‍💻,coder | developer | inventor | man | software | technologist | medium skin tone,man technologist: medium skin tone
👨🏾‍💻,coder | developer | inventor | man | software | technologist | medium-dark skin tone,man technologist: medium-dark skin tone
👨🏿‍💻,coder | developer | inventor | man | software | technologist | dark skin tone,man technologist: dark skin tone
👩🏻‍💻,coder | developer | inventor | software | technologist | woman | light skin tone,woman technologist: light skin tone
👩🏼‍💻,coder | developer | inventor | software | technologist | woman | medium-light skin tone,woman technologist: medium-light skin tone
👩🏽‍💻,coder | developer | inventor | software | technologist | woman | medium skin tone,woman technologist: medium skin tone
👩🏾‍💻,coder | developer | inventor | software | technologist | woman | medium-dark skin tone,woman technologist: medium-dark skin tone
👩🏿‍💻,coder | developer | inventor | software | technologist | woman | dark skin tone,woman technologist: dark skin tone
👨🏻‍🎤,actor | entertainer | man | rock | singer | star | light skin tone,man singer: light skin tone
👨🏼‍🎤,actor | entertainer | man | rock | singer | star | medium-light skin tone,man singer: medium-light skin tone
👨🏽‍🎤,actor | entertainer | man | rock | singer | star | medium skin tone,man singer: medium skin tone
👨🏾‍🎤,actor | entertainer | man | rock | singer | star | medium-dark skin tone,man singer: medium-dark skin tone
👨🏿‍🎤,actor | entertainer | man | rock | singer | star | dark skin tone,man singer: dark skin tone
👩🏻‍🎤,actor | entertainer | rock | singer | star | woman | light skin tone,woman singer: light skin tone
👩🏼‍🎤,actor | entertainer | rock | singer | star | woman | medium-light skin tone,woman singer: medium-light skin tone
👩🏽‍🎤,actor | entertainer | rock | singer | star | woman | medium skin tone,woman singer: medium skin tone
👩🏾‍🎤,actor | entertainer | rock | singer | star | woman | medium-dark skin tone,woman singer: medium-dark skin tone
👩🏿‍🎤,actor | entertainer | rock | singer | star | woman | dark skin tone,woman singer: dark skin tone
👨🏻‍🎨,artist | man | palette | light skin tone,man artist: light skin tone
👨🏼‍🎨,artist | man | palette | medium-light skin tone,man artist: medium-light skin tone
👨🏽‍🎨,artist | man | palette | medium skin tone,man artist: medium skin tone
👨🏾‍🎨,artist | man | palette | medium-dark skin tone,man artist: medium-dark skin tone
👨🏿‍🎨,artist | man | palette | dark skin tone,man artist: dark skin tone
👩🏻‍🎨,artist | palette | woman | light skin tone,woman artist: light skin tone
👩🏼‍🎨,artist | palette | woman | medium-light skin tone,woman artist: medium-light skin tone
👩🏽‍🎨,artist | palette | woman | medium skin tone,woman artist: medium skin tone
👩🏾‍🎨,artist | palette | woman | medium-dark skin tone,woman artist: medium-dark skin tone
👩🏿‍🎨,artist | palette | woman | dark skin tone,woman artist: dark skin tone
👨🏻‍✈,man | pilot | plane | light skin tone,man pilot: light skin tone
👨🏼‍✈,man | pilot | plane | medium-light skin tone,man pilot: medium-light skin tone
👨🏽‍✈,man | pilot | plane | medium skin tone,man pilot: medium skin tone
👨🏾‍✈,man | pilot | plane | medium-dark skin tone,man pilot: medium-dark skin tone
👨🏿‍✈,man | pilot | plane | dark skin tone,man pilot: dark skin tone
👩🏻‍✈,pilot | plane | woman | light skin tone,woman pilot: light skin tone
👩🏼‍✈,pilot | plane | woman | medium-light skin tone,woman pilot: medium-light skin tone
👩🏽‍✈,pilot | plane | woman | medium skin tone,woman pilot: medium skin tone
👩🏾‍✈,pilot | plane | woman | medium-dark skin tone,woman pilot: medium-dark skin tone
👩🏿‍✈,pilot | plane | woman | dark skin tone,woman pilot: dark skin tone
👨🏻‍🚀,astronaut | man | rocket | light skin tone,man astronaut: light skin tone
👨🏼‍🚀,astronaut | man | rocket | medium-light skin tone,man astronaut: medium-light skin tone
👨🏽‍🚀,astronaut | man | rocket | medium skin tone,man astronaut: medium skin tone
👨🏾‍🚀,astronaut | man | rocket | medium-dark skin tone,man astronaut: medium-dark skin tone
👨🏿‍🚀,astronaut | man | rocket | dark skin tone,man astronaut: dark skin tone
👩🏻‍🚀,astronaut | rocket | woman | light skin tone,woman astronaut: light skin tone
👩🏼‍🚀,astronaut | rocket | woman | medium-light skin tone,woman astronaut: medium-light skin tone
👩🏽‍🚀,astronaut | rocket | woman | medium skin tone,woman astronaut: medium skin tone
👩🏾‍🚀,astronaut | rocket | woman | medium-dark skin tone,woman astronaut: medium-dark skin tone
👩🏿‍🚀,astronaut | rocket | woman | dark skin tone,woman astronaut: dark skin tone
👨🏻‍🚒,firefighter | firetruck | man | light skin tone,man firefighter: light skin tone
👨🏼‍🚒,firefighter | firetruck | man | medium-light skin tone,man firefighter: medium-light skin tone
👨🏽‍🚒,firefighter | firetruck | man | medium skin tone,man firefighter: medium skin tone
👨🏾‍🚒,firefighter | firetruck | man | medium-dark skin tone,man firefighter: medium-dark skin tone
👨🏿‍🚒,firefighter | firetruck | man | dark skin tone,man firefighter: dark skin tone
👩🏻‍🚒,firefighter | firetruck | woman | light skin tone,woman firefighter: light skin tone
👩🏼‍🚒,firefighter | firetruck | woman | medium-light skin tone,woman firefighter: medium-light skin tone
👩🏽‍🚒,firefighter | firetruck | woman | medium skin tone,woman firefighter: medium skin tone
👩🏾‍🚒,firefighter | firetruck | woman | medium-dark skin tone,woman firefighter: medium-dark skin tone
👩🏿‍🚒,firefighter | firetruck | woman | dark skin tone,woman firefighter: dark skin tone
👮🏻,cop | officer | police | light skin tone,police officer: light skin tone
👮🏼,cop | officer | police | medium-light skin tone,police officer: medium-light skin tone
👮🏽,cop | officer | police | medium skin tone,police officer: medium skin tone
👮🏾,cop | officer | police | medium-dark skin tone,police officer: medium-dark skin tone
👮🏿,cop | officer | police | dark skin tone,police officer: dark skin tone
👮🏻‍♂,cop | man | officer | police | light skin tone,man police officer: light skin tone
👮🏼‍♂,cop | man | officer | police | medium-light skin tone,man police officer: medium-light skin tone
👮🏽‍♂,cop | man | officer | police | medium skin tone,man police officer: medium skin tone
👮🏾‍♂,cop | man | officer | police | medium-dark skin tone,man police officer: medium-dark skin tone
👮🏿‍♂,cop | man | officer | police | dark skin tone,man police officer: dark skin tone
👮🏻‍♀,cop | officer | police | woman | light skin tone,woman police officer: light skin tone
👮🏼‍♀,cop | officer | police | woman | medium-light skin tone,woman police officer: medium-light skin tone
👮🏽‍♀,cop | officer | police | woman | medium skin tone,woman police officer: medium skin tone
👮🏾‍♀,cop | officer | police | woman | medium-dark skin tone,woman police officer: medium-dark skin tone
👮🏿‍♀,cop | officer | police | woman | dark skin tone,woman police officer: dark skin tone
🕵🏻,detective | sleuth | spy | light skin tone,detective: light skin tone
🕵🏼,detective | sleuth | spy | medium-light skin tone,detective: medium-light skin tone
🕵🏽,detective | sleuth | spy | medium skin tone,detective: medium skin tone
🕵🏾,detective | sleuth | spy | medium-dark skin tone,detective: medium-dark skin tone
🕵🏿,detective | sleuth | spy | dark skin tone,detective: dark skin tone
🕵🏻‍♂,detective | man | sleuth | spy | light skin tone,man detective: light skin tone
🕵🏼‍♂,detective | man | sleuth | spy | medium-light skin tone,man detective: medium-light skin tone
🕵🏽‍♂,detective | man | sleuth | spy | medium skin tone,man detective: medium skin tone
🕵🏾‍♂,detective | man | sleuth | spy | medium-dark skin tone,man detective: medium-dark skin tone
🕵🏿‍♂,detective | man | sleuth | spy | dark skin tone,man detective: dark skin tone
🕵🏻‍♀,detective | sleuth | spy | woman | light skin tone,woman detective: light skin tone
🕵🏼‍♀,detective | sleuth | spy | woman | medium-light skin tone,woman detective: medium-light skin tone
🕵🏽‍♀,detective | sleuth | spy | woman | medium skin tone,woman detective: medium skin tone
🕵🏾‍♀,detective | sleuth | spy | woman | medium-dark skin tone,woman detective: medium-dark skin tone
🕵🏿‍♀,detective | sleuth | spy | woman | dark skin tone,woman detective: dark skin tone
💂🏻,guard | light skin tone,guard: light skin tone
💂🏼,guard | medium-light skin tone,guard: medium-light skin tone
💂🏽,guard | medium skin tone,guard: medium skin tone
💂🏾,guard | medium-dark skin tone,guard: medium-dark skin tone
💂🏿,guard | dark skin tone,guard: dark skin tone
💂🏻‍♂,guard | man | light skin tone,man guard: light skin tone
💂🏼‍♂,guard | man | medium-light skin tone,man guard: medium-light skin tone
💂🏽‍♂,guard | man | medium skin tone,man guard: medium skin tone
💂🏾‍♂,guard | man | medium-dark skin tone,man guard: medium-dark skin tone
💂🏿‍♂,guard | man | dark skin tone,man guard: dark skin tone
💂🏻‍♀,guard | woman | light skin tone,woman guard: light skin tone
💂🏼‍♀,guard | woman | medium-light skin tone,woman guard: medium-light skin tone
💂🏽‍♀,guard | woman | medium skin tone,woman guard: medium skin tone
💂🏾‍♀,guard | woman | medium-dark skin tone,woman guard: medium-dark skin tone
💂🏿‍♀,guard | woman | dark skin tone,woman guard: dark skin tone
👷🏻,construction | hat | worker | light skin tone,construction worker: light skin tone
👷🏼,construction | hat | worker | medium-light skin tone,construction worker: medium-light skin tone
👷🏽,construction | hat | worker | medium skin tone,construction worker: medium skin tone
👷🏾,construction | hat | worker | medium-dark skin tone,construction worker: medium-dark skin tone
👷🏿,construction | hat | worker | dark skin tone,construction worker: dark skin tone
👷🏻‍♂,construction | man | worker | light skin tone,man construction worker: light skin tone
👷🏼‍♂,construction | man | worker | medium-light skin tone,man construction worker: medium-light skin tone
👷🏽‍♂,construction | man | worker | medium skin tone,man construction worker: medium skin tone
👷🏾‍♂,construction | man | worker | medium-dark skin tone,man construction worker: medium-dark skin tone
👷🏿‍♂,construction | man | worker | dark skin tone,man construction worker: dark skin tone
👷🏻‍♀,construction | woman | worker | light skin tone,woman construction worker: light skin tone
👷🏼‍♀,construction | woman | worker | medium-light skin tone,woman construction worker: medium-light skin tone
👷🏽‍♀,construction | woman | worker | medium skin tone,woman construction worker: medium skin tone
👷🏾‍♀,construction | woman | worker | medium-dark skin tone,woman construction worker: medium-dark skin tone
👷🏿‍♀,construction | woman | worker | dark skin tone,woman construction worker: dark skin tone
🤴🏻,prince | light skin tone,prince: light skin tone
🤴🏼,prince | medium-light skin tone,prince: medium-light skin tone
🤴🏽,prince | medium skin tone,prince: medium skin tone
🤴🏾,prince | medium-dark skin tone,prince: medium-dark skin tone
🤴🏿,prince | dark skin tone,prince: dark skin tone
👸🏻,fairy tale | fantasy | princess | light skin tone,princess: light skin tone
👸🏼,fairy tale | fantasy | princess | medium-light skin tone,princess: medium-light skin tone
👸🏽,fairy tale | fantasy | princess | medium skin tone,princess: medium skin tone
👸🏾,fairy tale | fantasy | princess | medium-dark skin tone,princess: medium-dark skin tone
👸🏿,fairy tale | fantasy | princess | dark skin tone,princess: dark skin tone
👳🏻,person wearing turban | turban | light skin tone,person wearing turban: light skin tone
👳🏼,person wearing turban | turban | medium-light skin tone,person wearing turban: medium-light skin tone
👳🏽,person wearing turban | turban | medium skin tone,person wearing turban: medium skin tone
👳🏾,person wearing turban | turban | medium-dark skin tone,person wearing turban: medium-dark skin tone
👳🏿,person wearing turban | turban | dark skin tone,person wearing turban: dark skin tone
👳🏻‍♂,man | man wearing turban | turban | light skin tone,man wearing turban: light skin tone
👳🏼‍♂,man | man wearing turban | turban | medium-light skin tone,man wearing turban: medium-light skin tone
👳🏽‍♂,man | man wearing turban | turban | medium skin tone,man wearing turban: medium skin tone
👳🏾‍♂,man | man wearing turban | turban | medium-dark skin tone,man wearing turban: medium-dark skin tone
👳🏿‍♂,man | man wearing turban | turban | dark skin tone,man wearing turban: dark skin tone
👳🏻‍♀,turban | woman | woman wearing turban | light skin tone,woman wearing turban: light skin tone
👳🏼‍♀,turban | woman | woman wearing turban | medium-light skin tone,woman wearing turban: medium-light skin tone
👳🏽‍♀,turban | woman | woman wearing turban | medium skin tone,woman wearing turban: medium skin tone
👳🏾‍♀,turban | woman | woman wearing turban | medium-dark skin tone,woman wearing turban: medium-dark skin tone
👳🏿‍♀,turban | woman | woman wearing turban | dark skin tone,woman wearing turban: dark skin tone
👲🏻,gua pi mao | hat | man | man with Chinese cap | light skin tone,man with Chinese cap: light skin tone
👲🏼,gua pi mao | hat | man | man with Chinese cap | medium-light skin tone,man with Chinese cap: medium-light skin tone
👲🏽,gua pi mao | hat | man | man with Chinese cap | medium skin tone,man with Chinese cap: medium skin tone
👲🏾,gua pi mao | hat | man | man with Chinese cap | medium-dark skin tone,man with Chinese cap: medium-dark skin tone
👲🏿,gua pi mao | hat | man | man with Chinese cap | dark skin tone,man with Chinese cap: dark skin tone
🧕🏻,headscarf | hijab | mantilla | tichel | woman with headscarf | light skin tone,woman with headscarf: light skin tone
🧕🏼,headscarf | hijab | mantilla | tichel | woman with headscarf | medium-light skin tone,woman with headscarf: medium-light skin tone
🧕🏽,headscarf | hijab | mantilla | tichel | woman with headscarf | medium skin tone,woman with headscarf: medium skin tone
🧕🏾,headscarf | hijab | mantilla | tichel | woman with headscarf | medium-dark skin tone,woman with headscarf: medium-dark skin tone
🧕🏿,headscarf | hijab | mantilla | tichel | woman with headscarf | dark skin tone,woman with headscarf: dark skin tone
🧔🏻,beard | bearded person | light skin tone,bearded person: light skin tone
🧔🏼,beard | bearded person | medium-light skin tone,bearded person: medium-light skin tone
🧔🏽,beard | bearded person | medium skin tone,bearded person: medium skin tone
🧔🏾,beard | bearded person | medium-dark skin tone,bearded person: medium-dark skin tone
🧔🏿,beard | bearded person | dark skin tone,bearded person: dark skin tone
👱🏻,blond | blond-haired person | light skin tone,blond-haired person: light skin tone
👱🏼,blond | blond-haired person | medium-light skin tone,blond-haired person: medium-light skin tone
👱🏽,blond | blond-haired person | medium skin tone,blond-haired person: medium skin tone
👱🏾,blond | blond-haired person | medium-dark skin tone,blond-haired person: medium-dark skin tone
👱🏿,blond | blond-haired person | dark skin tone,blond-haired person: dark skin tone
👱🏻‍♂,blond | blond-haired man | man | light skin tone,blond-haired man: light skin tone
👱🏼‍♂,blond | blond-haired man | man | medium-light skin tone,blond-haired man: medium-light skin tone
👱🏽‍♂,blond | blond-haired man | man | medium skin tone,blond-haired man: medium skin tone
👱🏾‍♂,blond | blond-haired man | man | medium-dark skin tone,blond-haired man: medium-dark skin tone
👱🏿‍♂,blond | blond-haired man | man | dark skin tone,blond-haired man: dark skin tone
👱🏻‍♀,blond-haired woman | blonde | woman | light skin tone,blond-haired woman: light skin tone
👱🏼‍♀,blond-haired woman | blonde | woman | medium-light skin tone,blond-haired woman: medium-light skin tone
👱🏽‍♀,blond-haired woman | blonde | woman | medium skin tone,blond-haired woman: medium skin tone
👱🏾‍♀,blond-haired woman | blonde | woman | medium-dark skin tone,blond-haired woman: medium-dark skin tone
👱🏿‍♀,blond-haired woman | blonde | woman | dark skin tone,blond-haired woman: dark skin tone
🤵🏻,groom | man | man in tuxedo | tuxedo | light skin tone,man in tuxedo: light skin tone
🤵🏼,groom | man | man in tuxedo | tuxedo | medium-light skin tone,man in tuxedo: medium-light skin tone
🤵🏽,groom | man | man in tuxedo | tuxedo | medium skin tone,man in tuxedo: medium skin tone
