codepoints,emoji-name,keywords
🚶🏽‍♂,hike | man | man walking | walk | medium skin tone,man walking: medium skin tone
🚶🏾‍♂,hike | man | man walking | walk | medium-dark skin tone,man walking: medium-dark skin tone
🚶🏿‍♂,hike | man | man walking | walk | dark skin tone,man walking: dark skin tone
🚶🏻‍♀,hike | walk | woman | woman walking | light skin tone,woman walking: light skin tone
🚶🏼‍♀,hike | walk | woman | woman walking | medium-light skin tone,woman walking: medium-light skin tone
🚶🏽‍♀,hike | walk | woman | woman walking | medium skin tone,woman walking: medium skin tone
🚶🏾‍♀,hike | walk | woman | woman walking | medium-dark skin tone,woman walking: medium-dark skin tone
🚶🏿‍♀,hike | walk | woman | woman walking | dark skin tone,woman walking: dark skin tone
🏃🏻,marathon | person running | running | light skin tone,person running: light skin tone
🏃🏼,marathon | person running | running | medium-light skin tone,person running: medium-light skin tone
🏃🏽,marathon | person running | running | medium skin tone,person running: medium skin tone
🏃🏾,marathon | person running | running | medium-dark skin tone,person running: medium-dark skin tone
🏃🏿,marathon | person running | running | dark skin tone,person running: dark skin tone
🏃🏻‍♂,man | marathon | racing | running | light skin tone,man running: light skin tone
🏃🏼‍♂,man | marathon | racing | running | medium-light skin tone,man running: medium-light skin tone
🏃🏽‍♂,man | marathon | racing | running | medium skin tone,man running: medium skin tone
🏃🏾‍♂,man | marathon | racing | running | medium-dark skin tone,man running: medium-dark skin tone
🏃🏿‍♂,man | marathon | racing | running | dark skin tone,man running: dark skin tone
🏃🏻‍♀,marathon | racing | running | woman | light skin tone,woman running: light skin tone
🏃🏼‍♀,marathon | racing | running | woman | medium-light skin tone,woman running: medium-light skin tone
🏃🏽‍♀,marathon | racing | running | woman | medium skin tone,woman running: medium skin tone
🏃🏾‍♀,marathon | racing | running | woman | medium-dark skin tone,woman running: medium-dark skin tone
🏃🏿‍♀,marathon | racing | running | woman | dark skin tone,woman running: dark skin tone
💃🏻,dancing | woman | light skin tone,woman dancing: light skin tone
💃🏼,dancing | woman | medium-light skin tone,woman dancing: medium-light skin tone
💃🏽,dancing | woman | medium skin tone,woman dancing: medium skin tone
💃🏾,dancing | woman | medium-dark skin tone,woman dancing: medium-dark skin tone
💃🏿,dancing | woman | dark skin tone,woman dancing: dark skin tone
🕺🏻,dance | man | man dancing | light skin tone,man dancing: light skin tone
🕺🏼,dance | man | man dancing | medium-light skin tone,man dancing: medium-light skin tone
🕺🏽,dance | man | man dancing | medium skin tone,man dancing: medium skin tone
🕺🏾,dance | man | man dancing | medium-dark skin tone,man dancing: medium-dark skin tone
🕺🏿,dance | man | man dancing | dark skin tone,man dancing: dark skin tone
🧖🏻,person in steamy room | sauna | steam room | light skin tone,person in steamy room: light skin tone
🧖🏼,person in steamy room | sauna | steam room | medium-light skin tone,person in steamy room: medium-light skin tone
🧖🏽,person in steamy room | sauna | steam room | medium skin tone,person in steamy room: medium skin tone
🧖🏾,person in steamy room | sauna | steam room | medium-dark skin tone,person in steamy room: medium-dark skin tone
🧖🏿,person in steamy room | sauna | steam room | dark skin tone,person in steamy room: dark skin tone
🧖🏻‍♀,sauna | steam room | woman in steamy room | light skin tone,woman in steamy room: light skin tone
🧖🏼‍♀,sauna | steam room | woman in steamy room | medium-light skin tone,woman in steamy room: medium-light skin tone
🧖🏽‍♀,sauna | steam room | woman in steamy room | medium skin tone,woman in steamy room: medium skin tone
🧖🏾‍♀,sauna | steam room | woman in steamy room | medium-dark skin tone,woman in steamy room: medium-dark skin tone
🧖🏿‍♀,sauna | steam room | woman in steamy room | dark skin tone,woman in steamy room: dark skin tone
🧖🏻‍♂,man in steamy room | sauna | steam room | light skin tone,man in steamy room: light skin tone
🧖🏼‍♂,man in steamy room | sauna | steam room | medium-light skin tone,man in steamy room: medium-light skin tone
🧖🏽‍♂,man in steamy room | sauna | steam room | medium skin tone,man in steamy room: medium skin tone
🧖🏾‍♂,man in steamy room | sauna | steam room | medium-dark skin tone,man in steamy room: medium-dark skin tone
🧖🏿‍♂,man in steamy room | sauna | steam room | dark skin tone,man in steamy room: dark skin tone
🧗🏻,climber | person climbing | light skin tone,person climbing: light skin tone
🧗🏼,climber | person climbing | medium-light skin tone,person climbing: medium-light skin tone
