codepoints,variation,comments
1F552 FE0F,emoji style,
1F553 FE0E,text style,
1F553 FE0F,emoji style,
1F554 FE0E,text style,
1F554 FE0F,emoji style,
1F555 FE0E,text style,
1F555 FE0F,emoji style,
1F556 FE0E,text style,
1F556 FE0F,emoji style,
1F557 FE0E,text style,
1F557 FE0F,emoji style,
1F558 FE0E,text style,
1F558 FE0F,emoji style,
1F559 FE0E,text style,
1F559 FE0F,emoji style,
1F55A FE0E,text style,
1F55A FE0F,emoji style,
1F55B FE0E,text style,
1F55B FE0F,emoji style,
1F55C FE0E,text style,
1F55C FE0F,emoji style,
1F55D FE0E,text style,
1F55D FE0F,emoji style,
1F55E FE0E,text style,
1F55E FE0F,emoji style,
1F55F FE0E,text style,
1F55F FE0F,emoji style,
1F560 FE0E,text style,
1F560 FE0F,emoji style,
1F561 FE0E,text style,
1F561 FE0F,emoji style,
1F562 FE0E,text style,
1F562 FE0F,emoji style,
1F563 FE0E,text style,
1F563 FE0F,emoji style,
1F564 FE0E,text style,
1F564 FE0F,emoji style,
1F565 FE0E,text style,
1F565 FE0F,emoji style,
1F566 FE0E,text style,
1F566 FE0F,emoji style,
1F567 FE0E,text style,
1F567 FE0F,emoji style,
1F56F FE0E,text style,
1F56F FE0F,emoji style,
1F570 FE0E,text style,
1F570 FE0F,emoji style,
1F573 FE0E,text style,
1F573 FE0F,emoji style,
1F574 FE0E,text style,
1F574 FE0F,emoji style,
1F575 FE0E,text style,
1F575 FE0F,emoji style,
1F576 FE0E,text style,
1F576 FE0F,emoji style,
1F577 FE0E,text style,
1F577 FE0F,emoji style,
1F578 FE0E,text style,
1F578 FE0F,emoji style,
1F579 FE0E,text style,
1F579 FE0F,emoji style,
1F587 FE0E,text style,
1F587 FE0F,emoji style,
1F58A FE0E,text style,
1F58A FE0F,emoji style,
1F58B FE0E,text style,
1F58B FE0F,emoji style,
1F58C FE0E,text style,
1F58C FE0F,emoji style,
1F58D FE0E,text style,
1F58D FE0F,emoji style,
1F590 FE0E,text style,
1F590 FE0F,emoji style,
1F5A5 FE0E,text style,
1F5A5 FE0F,emoji style,
1F5A8 FE0E,text style,
1F5A8 FE0F,emoji style,
1F5B1 FE0E,text style,
1F5B1 FE0F,emoji style,
1F5B2 FE0E,text style,
1F5B2 FE0F,emoji style,
1F5BC FE0E,text style,
1F5BC FE0F,emoji style,
1F5C2 FE0E,text style,
1F5C2 FE0F,emoji style,
1F5C3 FE0E,text style,
1F5C3 FE0F,emoji style,
1F5C4 FE0E,text style,
1F5C4 FE0F,emoji style,
1F5D1 FE0E,text style,
1F5D1 FE0F,emoji style,
1F5D2 FE0E,text style,
1F5D2 FE0F,emoji style,
1F5D3 FE0E,text style,
1F5D3 FE0F,emoji style,
1F5DC FE0E,text style,
1F5DC FE0F,emoji style,
1F5DD FE0E,text style,
1F5DD FE0F,emoji style,
1F5DE FE0E,text style,
1F5DE FE0F,emoji style,
1F5E1 FE0E,text style,
1F5E1 FE0F,emoji style,
1F5E3 FE0E,text style,
